cnae,id,descricao,divisao,status,anexos,fatorR,motivo,origem
2862-3/00,2862300,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2863-1/00,2863100,"Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2864-0/00,2864000,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2865-8/00,2865800,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2866-6/00,2866600,"Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2869-1/00,2869100,"Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios",28,OPTANTE,II,NAO,Indústria — Anexo II,regra
2910-7/01,2910701,"Fabricação de automóveis, camionetas e utilitários",29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2910-7/02,2910702,"Fabricação de chassis com motor para automóveis, camionetas e utilitários",29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2910-7/03,2910703,"Fabricação de motores para automóveis, camionetas e utilitários",29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2920-4/01,2920401,Fabricação de caminhões e ônibus,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2920-4/02,2920402,Fabricação de motores para caminhões e ônibus,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2930-1/01,2930101,"Fabricação de cabines, carrocerias e reboques para caminhões",29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2930-1/02,2930102,Fabricação de carrocerias para ônibus,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2930-1/03,2930103,"Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus",29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2941-7/00,2941700,Fabricação de peças e acessórios para o sistema motor de veículos automotores,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2942-5/00,2942500,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2943-3/00,2943300,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2944-1/00,2944100,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2945-0/00,2945000,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2949-2/01,2949201,Fabricação de bancos e estofados para veículos automotores,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2949-2/99,2949299,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
2950-6/00,2950600,Recondicionamento e recuperação de motores para veículos automotores,29,OPTANTE,II,NAO,Indústria — Anexo II,regra
3011-3/01,3011301,Construção de embarcações de grande porte,30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3011-3/02,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3012-1/00,3012100,Construção de embarcações para esporte e lazer,30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3031-8/00,3031800,"Fabricação de locomotivas, vagões e outros materiais rodantes",30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3032-6/00,3032600,Fabricação de peças e acessórios para veículos ferroviários,30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3041-5/00,3041500,Fabricação de aeronaves,30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3042-3/00,3042300,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3050-4/00,3050400,Fabricação de veículos militares de combate,30,OPTANTE,II,NAO,Indústria — Anexo II,regra
3091-1/01,3091101,Fabricação de motocicletas,30,OPTANTE,II,NAO,Indústria — Anexo II,regra
